in s,C4 in V
-6.340228E-03,3.84072E-01
-6.340136E-03,3.86025E-01
-6.340044E-03,3.84072E-01
-6.339952E-03,3.87490E-01
-6.339860E-03,3.87002E-01
-6.339768E-03,3.84561E-01
-6.339676E-03,3.80166E-01
-6.339584E-03,3.79189E-01
-6.339492E-03,3.74307E-01
-6.339400E-03,3.74795E-01
-6.339308E-03,3.72842E-01
-6.339216E-03,3.67471E-01
-6.339124E-03,3.64053E-01
-6.339032E-03,3.61611E-01
-6.338940E-03,3.58682E-01
-6.338848E-03,3.60146E-01
-6.338756E-03,3.58193E-01
-6.338664E-03,3.57217E-01
-6.338572E-03,3.59658E-01
-6.338480E-03,3.58193E-01
-6.338388E-03,3.62100E-01
-6.338296E-03,3.61611E-01
-6.338204E-03,3.65518E-01
-6.338112E-03,3.67471E-01
-6.338020E-03,3.70889E-01
-6.337928E-03,3.75283E-01
-6.337836E-03,3.77236E-01
-6.337744E-03,3.79678E-01
-6.337652E-03,3.81143E-01
-6.337560E-03,3.83584E-01
-6.337468E-03,3.82607E-01
-6.337376E-03,3.86025E-01
-6.337284E-03,3.87490E-01
-6.337192E-03,3.85537E-01
-6.337100E-03,3.86025E-01
-6.337008E-03,3.84561E-01
-6.336916E-03,3.80654E-01
-6.336824E-03,3.78213E-01
-6.336732E-03,3.76260E-01
-6.336640E-03,3.73818E-01
-6.336548E-03,3.73818E-01
-6.336456E-03,3.69912E-01
-6.336364E-03,3.66006E-01
-6.336272E-03,3.65029E-01
-6.336180E-03,3.63076E-01
-6.336088E-03,3.62100E-01
-6.335996E-03,3.60635E-01
-6.335904E-03,3.61123E-01
-6.335812E-03,3.61611E-01
-6.335720E-03,3.62100E-01
-6.335628E-03,3.62100E-01
-6.335536E-03,3.64053E-01
-6.335444E-03,3.67471E-01
-6.335352E-03,3.70400E-01
-6.335260E-03,3.70889E-01
-6.335168E-03,3.75283E-01
-6.335076E-03,3.78213E-01
-6.334984E-03,3.80654E-01
-6.334892E-03,3.83584E-01
-6.334800E-03,3.85049E-01
-6.334708E-03,3.86025E-01
-6.334616E-03,3.87979E-01
-6.334524E-03,3.86514E-01
-6.334432E-03,3.87490E-01
